vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
5GAKRAKD2HJ278457,2017,Buick,Enclave,Convenience Group,4D Sport Utility,Crimson Red Tintcoat,Light Titanium,6-Speed Automatic Electronic with Overdrive,15,22,72335,22551,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
KL4CJASB5MB341008,2021,Buick,Encore,Preferred,SUV,Quicksilver Metallic,Ebony,Automatic,25,30,5812,22578,Ancira Nissan,2021-08-28
ZACNJAAB6LPL45781,2020,Jeep,Renegade,Sport,4D Sport Utility,Silver,Black,9-Speed 948TE Automatic,22,30,7439,22791,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
JM3KFACM2J0469384,2018,Mazda,Mazda CX-5,Touring,Sport Utility,Machine Gray Metallic,Black,Automatic,25,31,64211,22978,Ancira Volkswagen of San Antonio,2021-08-28
1C4RJFBG6FC806420,2015,Jeep,Grand Cherokee,Limited,Sport Utility,Bright White Clearcoat,Black,Automatic,17,24,84256,22988,Ancira Chrysler Jeep Dodge Ram,2021-08-28
1C6RR6GT9HS520186,2017,RAM,1500,SLT,4D Extended Cab,Bright White Clearcoat,black,8-Speed Automatic,15,22,89967,22991,Ancira Volkswagen of Laredo,2021-08-28
2C3CCARG5JH315775,2018,Chrysler,300,Touring,4D Sedan,Ocean Blue Metallic Clearcoat,Black,8-Speed Automatic,18,27,48291,22991,Ancira Chevy,2021-08-28
1GNKRGKD1HJ305687,2017,Chevrolet,Traverse,LT 1LT,4D Sport Utility,Tungsten Metallic,Ebony,6-Speed Automatic,15,22,69701,22991,Ancira Chevy,2021-08-28
1C4PJLCB5KD348284,2019,Jeep,Cherokee,Latitude,4D Sport Utility,Billet Silver Metallic Clearcoat,Black,9-Speed 948TE Automatic,22,31,35594,22991,Ancira Chevy,2021-08-28
JTNKHMBX2K1062608,2019,Toyota,C-HR,LE,4D Sport Utility,White,Black,CVT,27,31,22361,22991,Ancira Chevy,2021-08-28
1J4BA5H13BL515585,2011,Jeep,Wrangler Unlimited,Sahara,Convertible,Bright Silver Metallic,Black/Dark Saddle Interior,Automatic,15,19,116381,22998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
SHHFK7H64KU206186,2019,Honda,Civic Hatchback,EX,Hatchback,Platinum White Pearl,Black/Ivory,Variable,31,40,37653,22999,Ancira Kia,2021-08-28
WBA8A9C56JAH13122,2018,BMW,3 Series,320i,4dr Car,Black Sapphire Metallic,Black,Automatic,24,35,32800,23295,Ancira Chrysler Jeep Dodge Ram,2021-08-28
KNDPN3AC1J7398368,2018,Kia,Sportage,EX,4D Sport Utility,Snow White Pearl,Black,6-Speed Automatic Electronic with Overdrive,22,29,37047,23491,Ancira Volkswagen of Laredo,2021-08-28
5FNRL5H61GB066444,2016,Honda,Odyssey,EX-L,"Mini-van, Passenger",Lunar Silver Metallic,Gray,Automatic,19,28,61019,23597,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2FMPK4J90HBB14146,2017,Ford,Edge,SEL,Sport Utility,Black,Black,Automatic,20,27,27423,23597,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5TDDKRFH4ES067069,2014,Toyota,Highlander,Limited Platinum V6,Sport Utility,Creme Brulee Mica,Almond,Automatic,18,24,79562,23648,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5XYPG4A58KG554637,2019,Kia,Sorento,LX V6,Sport Utility,Sparkling Silver,Satin Black,Automatic,19,26,32068,23659,Ancira Volkswagen of San Antonio,2021-08-28
7FARW1H59HE029090,2017,Honda,CR-V,EX,Sport Utility,Silver,Gray,Variable,28,34,56164,23742,Ancira Volkswagen of San Antonio,2021-08-28
2T3RFREV6JW776970,2018,Toyota,RAV4,Adventure,Sport Utility,Black,Black,Automatic,22,28,55689,23899,Ancira Volkswagen of San Antonio,2021-08-28
1GKKNKLAXHZ168962,2017,GMC,Acadia,SLE,Sport Utility,Summit White,Jet Black,Automatic,21,26,65554,23988,Ancira Volkswagen of San Antonio,2021-08-28
2C3CDZAG9HH650538,2017,Dodge,Challenger,SXT Plus,2D Coupe,Granite Crystal Metallic Clearcoat,Black,8-Speed Automatic,19,30,60332,23991,Ancira Volkswagen of Laredo,2021-08-28
1FM5K7D85GGC22006,2016,Ford,Explorer,XLT,4D Sport Utility,White,Ebony Black,6-Speed Automatic with Select-Shift,17,24,51883,23991,Ancira Volkswagen of Laredo,2021-08-28
